Chain,Address,Label
arbitrum,0x57Be2EcEcbA1D852e05f7c9Bc7626Bbbc9b5cBFd,LinearInterestRateModelV3_arbitrum
arbitrum,0x611a45F43fBF65c688d2d2Cf2C39eD26127eb28e,ACL_arbitrum
arbitrum,0xDdf2Ec4773D70BB4d5f399aA5c6C65a149f71E2F,AddressProviderV3_arbitrum
arbitrum,0xBFD78d798243952dE992FB42449afbD3b3e2f024,ContractsRegister_arbitrum
arbitrum,0x20CB8B88989D061a5c73c1aB7eB543a977689849,PoolV3_arbitrum
bsc,0x7B1673202EbF8A903C29e207639B90c37937A40E,LinearInterestRateModelV3_bsc
bsc,0xE67f77af54EdA6B92f2dBaB272b8C0817ae0bCa3,ACL_bsc
bsc,0x9613E12A424B4CbaCF561F0ec54b418c76d6B26D,AddressProviderV3_bsc
bsc,0x0aB39D2DA8160E64117C9B5CE88efD68FB8Bf693,ContractsRegister_bsc
bsc,0xED166436559Fd3d7f44cb00CACDA96EB999D789e,PoolV3_bsc
ethereum,0x7B1673202EbF8A903C29e207639B90c37937A40E,LinearInterestRateModelV3_ethereum
ethereum,0xE67f77af54EdA6B92f2dBaB272b8C0817ae0bCa3,ACL_ethereum
ethereum,0x9613E12A424B4CbaCF561F0ec54b418c76d6B26D,AddressProviderV3_ethereum
ethereum,0xFB1bA3Fc465E90a91f26a1F6cD8b6c3bb3264d30,ContractsRegister_ethereum
ethereum,0xa684EAf215ad323452e2B2bF6F817d4aa5C116ab,PoolV3_ethereum
ethereum,0x3976d71e7DdFBaB9bD120Ec281B7d35fa0F28528,StakingLPEth_ethereum
ethereum,0x110f00b890102A7534484db8b3C5695Bd49De27b,LockingLPEth_ethereum
ethereum,0x0FD87690fcd1Ae9245edB7de8c598AEcCFaf427c,LockingWETH-lpETH_ethereum
ethereum,0xD83B0a990ac3dBc9A5F3862b84883Da78F286283,BTCPoolV3_ethereum
ethereum,0x4F7280739Ba53591dE300277262CF7f7E038F24F,Treasury_ethereum
ethereum,0x28ae6D200523E3af8372B689dfF6041a8bA019eD,VaultRegistry_ethereum
ethereum,0x6670CC1d4DEbe29eC12F1dA6D66a2A487431B3D5,Flashlender_ethereum
ethereum,0xC63e9279410d37C0A25D094e26Cddbb73aEd7d95,PRBProxyRegistry_ethereum
ethereum,0x235e49CC709F9e262814795c00eabe73709ef8E2,SwapAction_ethereum
ethereum,0x27D139c70896124ad64bfe05B5bbb7F5CA1a4C46,PoolAction_ethereum
ethereum,0x03C07e6d561b664246058974dB31dbF1c1C0B416,ERC165Plugin_ethereum
ethereum,0x708aCdDF6Fc6DD8aE218e90517d582adD12c553c,PositionAction20_ethereum
ethereum,0xb4b083d1f9f5294F50C5118C6e8994369AcB6e51,PositionAction4626_ethereum
ethereum,0xbdb4C89F197E2D82e80D8Cb212E6e0Bb2AA9FeCE,PositionActionPendle_ethereum
ethereum,0xe1987f6cD0b8823a033c29d640596757492479BD,PositionActionTranchess_ethereum
ethereum,0xeD4E4F000C5fc8cf22F2Bf2EA23E64F38a5Fa216,SpectraYnETHOracle_ethereum
ethereum,0xCaf5e9cB6F005ed95F0a00edAdd16593467eE852,RewardManagerSpectra_ethereum
ethereum,0xadE9965484cD5f2926e26Cb95b99F183D719AbE9,LoopVoter_ethereum
ethereum,0x090052C12A5c744542b08006197C6824ACF00187,GaugeV3_ethereum
ethereum,0x3cc6e65d333DadD9113f227F4da07cF4F9D0eeF9,PoolQuotaKeeperV3_ethereum
ethereum,0x9BfCD3788f923186705259ae70A1192F601BeB47,CDPVaultSpectra_ethereum